"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Model Number","DQ Score"
"HOM","BAT","425889","Wilko Hearts Shower Curtain","Wilko","180cm x180cm",NA,NA,NA,NA,NA,NA,NA,"Painted Paper",NA,0.93
"HOM","BAT","425890","Wilko Chevron Shower Curtain Black","Wilko","180cm x180cm",NA,NA,NA,NA,NA,NA,NA,"Painted Paper",NA,0.93
"HOM","BAT","425891","Wilko Chevron Shower Curtain Aqua","Wilko","180cm x180cm",NA,NA,NA,NA,NA,NA,NA,"Painted Paper",NA,0.93
"HOM","BAT","425892","Wilko Chevron Shower Curtain Purple","Wilko","180cm x180cm",NA,NA,NA,NA,NA,NA,NA,"Painted Paper",NA,0.93
"HOM","BAT","425893","Wilko Pineapple Shower Curtain","Wilko","180cm x180cm",NA,NA,NA,NA,NA,NA,NA,"Painted Paper",NA,0.93
"HOM","BAT","425894","Wilko Shower Curtain Metalic Plum","Wilko","180cm x180cm",NA,NA,NA,NA,NA,NA,NA,"Dye",NA,0.93
"HOM","BAT","425897","Wilko Pop up  Bin Black","Wilko","34cm x 45cm",NA,"1","Polyester",NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","425898","Wilko Pop up Bin White","Wilko","34cm x 45cm",NA,"1","Polyester",NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","425899","Wilko Pop up Bin Aqua","Wilko","34cm x 45cm",NA,"1","Polyester",NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","425903","Wilko Satin Stripe Shower Curtain White","Wilko","180cm x180cm",NA,NA,NA,NA,NA,NA,NA,"Dye",NA,0.93
"HOM","BAT","425904","Wilko Satin Stripe Shower Curtain Black","Wilko","180cm x180cm",NA,NA,NA,NA,NA,NA,NA,"Dye",NA,0.93
"HOM","BAT","425908","Wilko Satin Stripe Shower Curtain Aqua","Wilko","180cm x180cm",NA,NA,NA,NA,NA,NA,NA,"Dye",NA,0.93
"HOM","BAT","425909","Wilko Clear Jewel Over Door Hook","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"HOM","BAT","425938","Wilko Memory Foam Bath Mat Pebble Cream","Wilko","61x43cm",NA,NA,"100% polyester",NA,"Wash at 30",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","425939","Wilko Memory Foam Bath Mat Pebble White","Wilko","61x43cm",NA,NA,"100% polyester",NA,"Wash at 30",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","426362","Wilko Mosaic Waste Bin Silver","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","BAT","426378","Wilko Toilet Seat Oakwood Veneer","Wilko","45.5cm x 37cm x 5.5cm",NA,"1","MDF and Zinc Alloy",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","426379","Wilko Foot Massage Bath Mat White","Wilko","71cm x 41cm",NA,NA,"PVC",NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","426380","Wilko Comfort Bath Mat White","Wilko","69cm x 40cm",NA,NA,"PVC",NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","426394","Wilko Single Function Rectangle Shower Head","Wilko","23.4 cm x 5.8 cm x 3.4 cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","426418","Wilko Sparkle Mirror Plaque","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"HOM","BAT","426428","Wilko Bathroom Caddy Aqua and White","Wilko","24cm x 16.5cm x 10cm",NA,"1","ABS Plastic",NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","426640","Wilko Nautical Stripe Laundry Bin","Wilko","33cm x4 3cm x 60cm",NA,"1","Polyester Cotton",NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","426641","Wilko Nautical Stripe 4 Drawer Unit","Wilko","27.5cm x 26cm x 90cm",NA,"1","Polyester Cotton",NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","426642","Wilko Come Out In the Wash Laundry Bag","Wilko","34cm x 36cm x 48cm",NA,"1","Polyester Cotton",NA,NA,NA,NA,NA,NA,0.9
