"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Age","DQ Score"
"SBK","DES","432410","Paper Mate Ink Joy Mini Ballpoint PensAssorted Colours 10pk","Paper Mate","17.6CM","3.0CM","10.0CM","Ballpoint Pens","H 11.4cm, W 1.3cm","Multi","10",NA,NA,1
"SBK","DES","417015","Pentel EnerGel Retractable Rollerball Pen Medium 2pk","Pentel","21.0CM","7.0CM","1.6CM","Rollerball Pens","Each Pen H14.7cm x W1.6cm x L1.3cm","Black","2",NA,NA,1
"SBK","DES","417019","Pentel R50 Rollerball Pens Black 2pk","Pentel","21.0CM","9.0CM","1.6CM","Rollerball Pens","Each Pen H13.9cm x W1.2cm x L1.6cm","Black","2",NA,NA,1
"SBK","DES","417022","Pentel Slicci 0.8 Blue","Pentel","13.4CM","1.0CM","1.3CM","Gel Pens","Each Pen H13.6cm x W 1.4cm x L 1.0cm","Blue","1",NA,NA,1
"SBK","DES","417023","Pentel Slicci 0.8 Green","Pentel","13.4CM","1.0CM","1.3CM","Gel Pens","Each Pen H13.6cm x W 1.4cm x L 1.0cm","Green","1",NA,NA,1
"SBK","DES","417025","Pentel Slicci 0.8 Pink","Pentel","13.4CM","1.0CM","1.3CM","Gel Pens","Each Pen H13.6cm x W 1.4cm x L 1.0cm","Pink","1",NA,NA,1
"SBK","DES","417027","Pentel White Marker","Pentel","19.0CM","6.6CM","2.5CM","Marker Pens","Each Pen H9.0cm x W2.5cm x L2.5cm","White","1",NA,NA,1
"SBK","DES","417031","Pentel Slicci 0.8 Silver","Pentel","13.4CM","1.0CM","1.3CM","Gel Pens","Each Pen H13.6cm x W 1.4cm x L 1.0cm","Silver","1",NA,NA,1
"SBK","DES","417032","Pentel Slicci 0.8 Gold","Pentel","13.4CM","1.0CM","1.3CM","Gel Pens","Each Pen H13.6cm x W 1.4cm x L 1.0cm","Gold","1",NA,NA,1
"SBK","DES","317952","Sharpie Permanent Markers Fine Point Assorted Colours 4pk","Sharpie","19.2CM","9.6CM","1.8CM","Marker Pens","ULa Fine Point","Multi","4pk",NA,NA,1
"SBK","DES","432399","Sharpie Electro Pop Permanent Markers 5pk","Sharpie","19.4CM","12.1CM","1.8CM","Marker Pens","H 13.7cm, W 1.4cm","Multi","5",NA,NA,1
"SBK","DES","254554","STABILO point 88 Fineliners 10pk","Stabilo","21.0CM","9.5CM",".7CM","Fineliners","0.4mm","Multi","10pk",NA,NA,1
"SBK","DES","317966","STABILO Flash Highlighters 4pk","Stabilo","14.9CM","5.8CM","1.7CM","Highlighters","Assorted","Multi","4pk",NA,NA,1
"SBK","DES","414620","Staedtler Textsurfer Highlighters 4pk","Staedtler","14.0CM","9.8CM","1.8CM","Highlighters","Highlighter pen 121x24x17mm","Clear","4",NA,NA,1
"SBK","DES","432235","Staedtler Whiteboard Pen Lumocolour Box 4pk","Staedtler","15.1CM","5.1CM","1.8CM","Marker Pens","Whiteboard pen 141x9x9mm","Multi","4",NA,NA,1
"SBK","DES","217306","uni-ball Signo Gel Grip Black Rollerball Pens2pk","Uni-ball","19.7CM","7.9CM",".9CM","Rollerball Pens","Medium","Black","2pk",NA,NA,1
"SBK","DES","217308","Uni-Ball Rollerball Fine Pen Black 2pk","Uni-ball","19.6CM","7.8CM","1.6CM","Rollerball Pens","Medium","Black","2pk",NA,NA,1
"SBK","DES","217314","uni-ball Vision Elite Rollerball Pens Black 3pk","Uni-ball","19.6CM","7.8CM","1.6CM","Rollerball Pens","Medium","Black","3pk",NA,NA,1
